reviewId,userName,Review Teks,rating,thumbsUpCount,date
5d7bef05-fdca-4407-b628-cbf3d8c8f627,Supri Yadin (Supri),"Pelayanan nya Gratis, Bagus, Ramah, Sopan, jelas dan Baik sekali.",5,0,2026-08-11 08:36:01
52d0d053-ae0d-4b44-9ed5-c5a089b12e41,Salma Wati,pokonya ok,5,0,2026-07-25 02:23:13
a3dec320-322e-43fc-a0b3-7dfa038ad4da,Nanti Sagalaraja,ok,5,0,2026-07-22 07:09:22
e38b9ba2-2caf-4320-b858-520b54eed6f7,sandi Samsung,"buat ambil antrian doang kah aplikasi ini.... coba dong buat ngajuin/bikin surat2 secara online biar mudah... klo dtg lgsung ke tiga raksa kami yg dipantura kejauhan.. mau bikin kk , akte dll tingkat desa atau kecamatan meski ada money baru jadi",1,2,2026-07-18 17:47:49
347ffb53-f873-4cdc-ba87-0f2c18704f74,bamfie bamfie,"mantap pokoknya, memudahkan urusan warga tangerang kabupaten",5,0,2026-07-15 10:37:02
48181779-4cfe-4930-b4a2-910497df269f,Muhamad Hakim,Semoga selalu bisa berlaku jujur dan tranparan kepada masyarakat untuk memberi kemudahan,5,0,2026-07-14 08:22:23
73026f93-290b-4d58-b062-d97b6ec3cb60,Gibran Ramadhan,mudah di gunakan,5,0,2026-07-14 02:01:17
70ca785a-3142-40d0-81c5-0acf8bb9460b,Ridwanna Topani,daerah laen. urus apa apa udah pake WA. sehari jadi. ini masih harus antri,1,0,2026-07-11 16:06:02
ae3f009b-3910-490f-8ade-934b4faefb20,Ainun Mardiah,tolong percepat proses verifikasi akun untuk buat kartu kuning,3,0,2026-07-08 08:43:05
0f0a2b90-939e-45a2-855c-de50deeaa0e5,CIPTO ENI NURHEDI,vrefikasi lama bangt kerja apaaan dah,2,0,2026-07-03 03:08:28
5dd8fcbb-cce6-4ed9-b30b-5703397fbfed,Johans Daroe SW,cukup simple,4,0,2026-07-01 11:46:49
ddcb655f-73b7-4e07-9a63-6546c3268fc7,Yusro Effendi Al-Pagenjahani (Al-Ghozali Muda),"Mohon maaf bapk/ ibu, coba tingkatkan lagi layanan publik (apk nya), sebab belum bisa mengakses dan mensinkronkan fitur (data) ketenagakerjaan (k'digi-daerah) dengan kemnaker (siap kerja-pusat).",4,1,2026-06-29 06:19:48
63b03c14-6d0a-4c18-bc26-41f7a68bfbc4,nia johansa,pelayanan ramah dan cepat,5,0,2026-06-22 00:40:55
4adc1f28-785a-4dba-9ed2-262dd4c511ca,Rino Julianto,kaga diverif' gajelas,1,0,2026-06-18 09:07:10
810fe736-6ed6-4667-aa1d-78506b8f9d1c,abdul aziz,"ini gimana mau login ga bisa Mulu,,, keterangan penulisan email salah,padahal benar",2,1,2026-06-18 05:20:33
63f4894c-c36e-434e-8c26-58ec68aaec6a,Yulia Safitri,"tolong apk nya di upgrade lagi biar lebih efisien dalam penggunaan nya, terutama membuat kartu kuning agar tidak perlu masuk ke web. 2 tahun lalu saya buat AK1 di web disnaker kab tangerang email dan sandi saya simpan, tpi sekarang untuk masuk kembali tidak bisa dengan keterangan user dan sandi salah, saat saya reset sandi keterangannya sudah dikirimkan ke no telpon tpi sampe sekarang tdk ada satupun SMS yg masuk. untuk register ulang juga tidak bisa karna nik saya sdh tercantum, mlh bikin susah",1,3,2026-06-12 11:22:09
b669ecec-6d46-44ce-a78e-fade20e3bc7f,Suhaeli Eboy,mempermudah.. sangat membantu,5,0,2026-06-02 01:45:13
008bac29-6e71-489a-b38c-0e1ab95f1926,asep saepuloh,"gimana ini login buat ak1 gk bisa bisa ngawur amat, ganti tuh karyawsnnya",3,0,2026-05-28 16:01:35
30f7f0dc-1604-4dcd-9da7-de082b793d67,Hamidun,Banyak manfaatnya,5,0,2026-05-23 02:21:20
7444e473-5fe2-46d5-ac7d-54c3446a1eca,Christian Kimnadi,"pendaftaran cepat, namun verifikasi nya msh hrs menunggu ckp lama",4,1,2026-05-20 04:11:24
18bb4e66-7903-4baf-b7ac-261259306c53,Hendra Maulana,bayar pajak motor jadi enak,5,0,2026-05-20 00:04:41
