reviewId,userName,Review Teks,rating,thumbsUpCount,date
01315527-860e-4e7e-8eed-b3f35c71c4a1,YUSUF,bodohnya kalian yg membuat alur dan program diaplikasi ini... ribet,1,0,2026-07-28 08:24:20
2fe92ded-9697-485e-9647-590ac53d99ae,Thasya Dwi,"mau login enggak bisa password salah terus padahal udah sama masukin password nya semuanya dibikin pake aplikasi, tapi bukannya mempermudah malah dibikin makin sulit ENGGAK JELAS BANGET",1,0,2026-07-17 07:08:24
9d11070a-85e6-433c-aaab-9d5df56a2b1d,Dedi Ibrahim,"Anggaran dari rakyat,fasilitas online tdk berguna..busuk aplikasi..",1,0,2026-07-11 05:23:59
72e87c5a-b500-4454-bf8c-2fd3fc84e5a7,Firman Syah,"gagal login terus padahal semua sudah sesuai... terakhir gagal lagi alasan akun tidak aktif, aplikasi sampah",1,1,2026-07-07 05:19:35
eb212fc2-ab34-49f1-b7d5-69eb4e522614,Cicih Suciyati,"aplikasi terburuk, tolong dong kalo bikin aplikasi yang bener ya Allah mempersulit hidup orang sekali aplikasi pemerintah it nya tolong dong !!!!!!",1,0,2026-07-01 08:03:01
a02b2df5-d84c-4eaf-8d89-0ddac987b817,Kharuddin Lubis,anggaran 100% hasil 0%,1,2,2026-05-24 07:43:14
36f0e683-e1b5-48c4-977a-56b42442e576,Neneng Restiana,e-open tidak bisa digunakan. logonya aja gk mau keluar. payah !,1,3,2026-05-12 04:24:46
eceda517-9393-4d2a-9ff3-21500809cd2a,Catur Aji Andika,"heran aja pajak larinya kemana dah, website busuk aplikasi busuk juga, mau ngurus apapun ribetnya minta ampun",1,2,2026-05-07 12:14:28
4e1d373d-ba4d-4d31-b8ae-23e8cd798136,darto s (Bang Dar),"tolong update perbaikan karna kamera tidak bisa di gunakan untuk layanan e-open, kalo apk masih gagal jangan di luncurkan dulu sebaiknya",3,1,2026-04-25 23:45:35
5e41505c-65c0-4bc6-a71e-0f1f0f22d987,Stephanie,parah untuk upload foto dan data sudah lengkap tapi dipersulit udah bikin permintaan saat di cek dinfokan belum ada permintaan,1,3,2026-03-02 09:32:47
3c15a03a-b1a9-4916-871a-6cd4fab541b0,rangga aditya,Aplikasi sampah tolol..!!!,1,2,2026-02-26 02:11:10
104100c4-0e1e-4065-948a-76803ce703ab,Asril Azurial,"akses kamera untuk pelayanan e-open susah padahal sudah di izinkan tetapi kamera nya eror by aplikasi dengan keterangan kamera belum di aktifkan, padahal sudah di izinkan, kan aneh, tolong di perbaiki lagi bug nya, codingan nya di perbaharui",1,5,2026-02-25 05:24:51
4e810a23-1775-46de-87c8-f6eb76f79585,Linda Anggra Suwandi,brekele bangett ini aplikasiiii!!!! ga ada gunanya. ga bisa selfie foto. aplikasii gembelll. uninstall,1,5,2026-01-28 00:20:18
0b55fe04-75e1-4084-8cca-1ffcff1d9b46,Caesar IDP,"Disuruh ambil foto selfie untuk verifikasi data, tapi ga bisa terus... Padahal semua sudah diizinkan aksesnya. lalu mau gimana supaya bisa update data kependudukan online ??? Kan dari dukcapil disuruh secara online, tapi aplikasinya ga mendukung banget.",1,5,2026-01-07 06:57:00
8abc954c-7bae-41cf-a77c-3d8da9c3679b,Didit He,di e open layanan update KK menunya mana yaa,2,2,2026-01-06 07:53:33
c59369ad-b783-4953-9a21-0b03f97a0515,Goempal 505,"ini apk gajelas amat, mau masuk e open buat foto selfie gabisa²",1,4,2025-12-31 03:25:24
